,Name,club,Appearances,Wins,Losses,Clean sheets,Goals conceded,Tackles,Tackle success (%),Last man tackles,Blocked shots,Interceptions,Clearances,Headed clearances,Clearances off the line,Recoveries,Duels won,Duels lost,Successful 50/50s,Aerial battles won,Aerial battles lost,Own goals,Errors leading to goals,Goals,Goals per match,Headed goals,Goals with right foot,Goals with left foot,Penalties scored,Free-kicks scored,Shots,Shots on target,Shot accuracy,Hit the woodwork,Big chances missed,Yellow cards,Red cards,Fouls commited,Offsides,Assists,Passes,Passes per match,Big chances created,Crosses,Cross accuracy (%),Through balls,Accurate long balls
153,Chem Campbell,"['Wolverhampton Wanderers', 'Wolverhampton Wanderers']",0,0,0,No value,No value,0,0%,No value,0,0,0,0,No value,0,0,0,0,0,0,No value,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0
154,Todd Cantwell,['Norwich City'],37,5,26,No value,No value,51,61%,No value,13,18,28,6,No value,148,182,194,49,20,39,No value,1,6,0.16,0,5,1,0,0,42,16,38%,0,3,6,0,33,3,2,"1,065",28.78,1,24,4%,3,30
155,Etienne Capoue,['Watford'],30,8,16,No value,No value,75,53%,No value,6,68,56,31,No value,219,186,165,23,49,19,No value,0,0,0.00,0,0,0,0,0,19,1,5%,0,0,8,0,57,0,3,"1,434",47.80,4,23,39%,3,112
156,Guido Carrillo,"['Southampton', 'Southampton']",0,0,0,No value,No value,0,No value,No value,0,0,0,0,No value,No value,No value,No value,No value,No value,No value,No value,No value,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0.00,0,0,No value,No value,No value
157,Tom Carroll,['Aston Villa (Loan)'],0,0,0,No value,No value,0,0%,No value,0,0,0,0,No value,0,0,0,0,0,0,No value,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0
158,Samir Carruthers,['Sheffield United'],0,0,0,No value,No value,0,0%,No value,0,0,0,0,No value,0,0,0,0,0,0,No value,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0
159,Scott Carson,"['Manchester City (Loan)', 'Manchester City (Loan)', 'Manchester City (Loan)']",0,0,0,0,0,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,0,0,0,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,0,0,0,No value,0,0,0.00,No value,No value,No value,No value,0
160,Karim Carter-Vickers,"['Tottenham Hotspur', 'Tottenham Hotspur', 'Tottenham Hotspur', 'Tottenham Hotspur']",0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No value,0,0,0,No value,No value,No value,No value,No value,0,No value,0,0,0,0,0,0,0.00,0,0,0%,0,0
161,Craig Cathcart,['Watford'],29,6,15,8,37,41,63%,0,1,25,133,62,1,128,114,83,4,67,53,0,0,0,No value,0,0,0,No value,No value,No value,No value,No value,0,No value,7,0,13,0,0,914,31.52,0,1,100%,1,66
162,Dani Ceballos,"['Arsenal (Loan)', 'Arsenal (Loan)', 'Arsenal (Loan)']",24,12,6,No value,No value,45,51%,No value,5,32,11,6,No value,153,116,125,27,9,25,No value,0,0,0.00,0,0,0,0,0,13,3,23%,0,0,1,0,19,0,2,"1,251",52.13,1,70,13%,6,76
163,Petr Cech,['Arsenal'],0,0,0,0,0,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,0,0,0,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,0,0,0,No value,0,0,0.00,No value,No value,No value,No value,0
